  -77.580  -56.000  -77.920  -53.670  -78.250  -51.670  -78.500  -49.330DAT   62
  -78.750  -47.670  -78.830  -44.000  -78.830  -41.000  -78.750  -38.500DAT   63
  -78.330  -36.330  -77.830  -35.000  -77.500  -33.330  -77.170  -31.670DAT   64
  -76.830  -30.000  -76.500  -28.330  -76.080  -27.000  -75.670  -26.000DAT   65
  -75.330  -24.000  -74.750  -23.670  -74.420  -22.330  -74.080  -20.670DAT   66
  -73.750  -19.330  -73.420  -17.670  -73.080  -16.330  -72.920  -14.670DAT   67
  -72.830  -13.500  -72.580  -12.330  -72.250  -11.330  -71.920  -11.170DAT   68
  -71.670  -12.000  -71.330  -12.170  -71.250  -11.500  -71.580  -11.000DAT   69
  -71.250  -10.500  -71.000   -9.750  -71.170   -9.000  -71.420   -8.670DAT   70
  -71.830   -8.500  -71.670   -7.330  -71.420   -7.670  -71.080   -7.330DAT   71
  -70.830   -7.670  -70.750   -6.830  -70.750   -5.830  -71.000   -5.830DAT   72
  -71.330   -6.000  -71.330   -4.500  -71.250   -3.000  -70.670   -3.000DAT   73
  -70.420   -3.330  -70.250   -2.500  -70.420   -1.670  -70.670   -1.000DAT   74
  -71.000   -1.500  -71.250    -.670  -71.500    0.000                  DAT   75
 154                -65.830  -71.500   70.500    0.000  -71.500    0.000DAT   76
  -71.250    1.330  -70.920    2.670  -70.580    3.500  -70.330    4.670DAT   77
  -70.330    6.330  -70.080    7.330  -70.080    8.670  -70.170   10.000DAT   78
  -70.080   11.330  -70.080   12.670  -70.170   14.330  -70.170   15.670DAT   79
  -70.170   17.000  -70.170   18.330  -70.330   20.000  -70.420   21.500DAT   80
  -70.580   23.000  -70.420   24.670  -70.170   25.330  -70.170   27.000DAT   81
  -69.920   28.330  -69.830   30.000  -69.580   31.330  -69.500   32.000DAT   82
  -69.500   33.500  -69.000   33.330  -68.670   33.500  -68.580   34.330DAT   83
  -68.920   35.000  -69.330   36.000  -69.500   37.000  -69.580   38.330DAT   84
  -70.080   38.670  -69.670   39.330  -69.500   39.830  -69.170   39.830DAT   85
  -68.830   40.000  -68.500   41.330  -68.170   42.000  -67.830   43.330DAT   86
  -67.750   44.500  -67.750   46.000  -67.580   47.000  -67.670   48.170DAT   87
  -67.420   48.500  -67.420   49.330  -67.830   49.830  -67.580   50.500DAT   88
  -67.000   50.170  -66.500   50.500  -66.250   51.500  -65.920   52.170DAT   89
  -65.830   53.670  -65.920   55.170  -66.250   56.000  -66.420   57.170DAT   90
  -66.670   57.170  -66.750   56.330  -66.920   57.000  -67.000   58.000DAT   91
  -67.170   59.000  -67.500   59.330  -67.330   60.670  -67.580   61.670DAT   92
  -67.670   62.670  -67.500   63.670  -67.580   65.000  -67.750   66.330DAT   93
  -67.830   67.670  -67.830   68.670  -67.670   69.500  -68.170   69.500DAT   94
  -68.580   70.000  -69.000   70.500  -69.170   69.500  -69.580   69.830DAT   95
 154                -65.750  -70.500  138.330   69.830  -69.580   69.830DAT   96
  -70.080   69.830  -70.500   70.670  -70.420   71.670  -70.080   71.000DAT   97
  -69.750   72.330  -69.580   73.500  -69.670   74.500  -69.830   75.500DAT   98
  -69.500   76.170  -69.170   77.170  -69.080   78.000  -68.500   78.330DAT   99
  -68.250   79.000  -68.000   80.500  -67.830   81.670  -67.330   82.500DAT  100
  -67.170   83.670  -67.000   85.000  -66.830   86.330  -66.670   87.670DAT  101
  -66.750   88.500  -66.750   89.670  -66.670   91.000  -66.500   92.000DAT  102
  -66.580   93.000  -66.580   94.000  -66.500   95.000  -66.670   96.000DAT  103
  -66.500   97.000  -66.670   97.670  -66.500   98.500  -66.580   99.330DAT  104
  -66.420  100.000  -66.420  100.670  -66.080  101.500  -65.830  102.670DAT  105
  -65.920  104.000  -66.080  105.000  -66.250  106.000  -66.500  107.000DAT  106
  -66.580  108.000  -66.830  109.000  -66.580  109.500  -66.670  110.330DAT  107
  -66.420  110.670  -66.080  110.670  -65.920  111.670  -65.830  112.670DAT  108
  -65.750  113.670  -66.000  114.500  -66.330  115.500  -66.500  116.500DAT  109
  -66.750  117.670  -66.830  119.000  -66.830  120.330  -66.670  121.500DAT  110
  -66.420  122.500  -66.750  123.330  -66.750  124.330  -66.500  124.830DAT  111
  -66.580  125.830  -66.250  126.500  -66.250  127.000  -66.500  127.670DAT  112
  -66.920  128.330  -67.000  129.000  -67.170  129.500  -66.920  130.000DAT  113
  -66.330  130.000  -66.080  130.830  -66.170  132.000  -66.080  133.330DAT  114
  -66.170  134.330  -66.080  135.330  -66.330  136.330  -66.330  137.330DAT  115
 150                -66.330  -83.830  180.000  137.330  -66.330  137.330DAT  116
  -66.500  138.330  -66.580  139.330  -66.670  140.500  -66.750  142.000DAT  117
  -67.000  142.500  -66.830  143.330  -67.000  144.330  -67.500  144.330DAT  118
  -67.580  145.000  -67.500  146.000  -67.830  146.830  -68.250  147.000DAT  119
  -68.420  148.330  -68.250  149.000  -68.500  150.330  -68.330  151.000DAT  120
  -68.670  151.500  -68.580  152.670  -68.580  154.330  -69.080  155.000DAT  121
  -69.330  156.000  -69.000  156.500  -69.080  157.500  -69.250  158.670DAT  122
  -69.500  160.000  -69.670  161.000  -70.080  161.000  -70.500  161.170DAT  123
  -70.830  161.670  -70.580  162.170  -70.170  162.330  -70.080  163.330DAT  124
  -70.580  163.170  -70.580  164.670  -70.500  166.000  -70.830  167.330DAT  125
  -71.170  168.670  -71.500  170.000  -71.170  170.170  -71.750  171.000DAT  126
  -72.000  170.170  -72.500  170.500  -72.830  169.670  -73.170  168.500DAT  127
  -73.250  167.000  -73.670  167.000  -74.080  166.670  -74.170  165.330DAT  128
