   17.937   38.521   17.963   38.489   18.058   38.457   18.110   38.306
   18.220   38.150   18.257   38.086   18.393   37.892   18.440   37.822
   18.472   37.801   18.493   37.768   18.509   37.763   18.561   37.709
   18.608   37.682   18.650   37.591   18.639   37.483   18.639   37.419
   18.686   37.365   18.749   37.343   18.786   37.306   18.822   37.295
   18.885   37.300   18.984   37.274   19.188   37.193   19.308   37.187
   19.589   37.150   19.630   37.139   19.677   37.139   19.812   37.112
   19.838   37.112   20.025   37.069   20.548   36.994   20.678   36.983
   20.781   36.956   20.879   36.967   20.997   36.967   21.018   36.940
   21.039   36.935   21.142   36.962   21.198   36.951   21.183   36.978
   21.188   37.058   21.198   37.123   21.276   37.144   21.301   37.144
   21.327   37.112   21.404   37.048   21.615   36.838   21.671   36.784
   21.774   36.741   21.887   36.720   21.912   36.725   21.999   36.725
   22.015   36.725   22.081   36.698   22.142   36.650   22.168   36.623
   22.296   36.354   22.352   36.305   22.490   36.139   22.561   36.020
   22.592   35.983   22.734   35.832   22.831   35.730   22.989   35.611
   23.085   35.574   23.136   35.558   23.167   35.531   23.440   35.461
 122                 29.861   23.481   35.552   32.578   23.440   35.461
   23.481   35.477   23.608   35.482   23.835   35.552   23.991   35.552
   24.067   35.509   24.138   35.445   24.228   35.359   24.309   35.310
   24.344   35.273   24.369   35.262   24.480   35.176   24.535   35.090
   24.575   35.074   24.631   35.020   24.776   34.939   24.816   34.891
   24.926   34.805   24.951   34.810   25.121   34.767   25.356   34.670
   25.376   34.654   25.496   34.611   25.536   34.589   25.680   34.568
   25.829   34.552   25.914   34.546   26.068   34.498   26.201   34.471
   26.360   34.390   26.399   34.358   26.543   34.251   26.582   34.218
   26.602   34.224   27.006   33.906   27.193   33.788   27.276   33.766
   27.306   33.723   27.468   33.653   27.663   33.557   27.678   33.557
   27.776   33.476   27.986   33.341   28.025   33.320   28.180   33.202
   28.273   33.175   28.283   33.137   28.297   33.132   28.336   33.099
   28.404   33.062   28.593   32.890   28.647   32.863   28.714   32.847
   28.744   32.793   28.893   32.691   29.116   32.615   29.376   32.583
   29.443   32.583   29.496   32.583   29.597   32.578   29.861   32.626
 194                 32.821   30.776   30.270   20.695   31.032   30.270
   31.046   30.227   31.041   30.200   31.022   30.189   31.017   29.985
   31.036   29.926   31.065   29.888   31.098   29.813   31.088   29.544
   31.032   29.409   31.013   29.409   30.984   29.372   30.927   29.323
   30.889   29.280   30.861   29.178   30.833   29.119   30.776   28.882
   30.780   28.791   30.785   28.753   30.804   28.737   30.875   28.619
   30.885   28.570   30.904   28.350   30.918   28.274   30.960   28.161
   30.970   28.118   31.013   28.016   31.187   27.322   31.206   27.290
   31.277   27.010   31.324   26.908   31.367   26.849   31.433   26.623
   31.433   26.569   31.447   26.564   31.456   26.128   31.461   26.091
   31.456   26.015   31.466   25.978   31.470   25.865   31.489   25.725
   31.522   25.649   31.518   25.617   31.555   25.510   31.579   25.273
   31.692   25.052   31.692   25.009   31.706   24.956   31.715   24.843
   31.748   24.794   31.753   24.762   31.800   24.708   31.828   24.649
   31.856   24.617   31.912   24.477   31.940   24.375   31.940   24.326
   32.113   24.030   32.118   23.944   32.104   23.804   32.174   23.449
   32.188   23.396   32.207   23.374   32.212   23.320   32.277   23.186
   32.328   23.121   32.356   23.105   32.366   23.078   32.450   23.078
   32.510   23.073   32.529   23.051   32.598   22.842   32.608   22.782
   32.612   22.707   32.636   22.546   32.650   22.487   32.696   22.417
   32.733   22.320   32.752   22.169   32.770   21.981   32.789   21.895
   32.808   21.873   32.821   21.793   32.808   21.658   32.794   21.610
   32.803   21.534   32.770   21.427   32.757   21.400   32.724   21.255
   32.715   21.212   32.710   21.120   32.691   21.034   32.701   20.959
   32.691   20.878   32.691   20.824   32.678   20.798   32.640   20.695
 194                 32.770   30.467   20.652   12.912   32.640   20.695
   32.612   20.652   32.594   20.588   32.561   20.523   32.496   20.469
   32.412   20.373   32.380   20.351   32.370   20.297   32.324   20.254
   32.258   20.200   32.104   20.131   32.071   20.125   32.029   20.093
   31.936   20.082   31.889   20.061   31.818   20.050   31.762   20.028
   31.612   19.985   30.899   19.856   30.828   19.835   30.790   19.802
   30.700   19.722   30.676   19.689   30.652   19.657   30.657   19.636
   30.619   19.598   30.595   19.474   30.491   19.178   30.491   19.087
   30.467   18.856   30.472   18.829   30.481   18.635   30.529   18.495
   30.552   18.334   30.590   18.302   30.595   18.264   30.690   18.130
   30.719   18.054   30.814   17.871   30.828   17.828   30.837   17.758
   30.852   17.726   30.875   17.613   30.894   17.575   30.889   17.559
   30.932   17.516   30.970   17.420   31.032   17.355   31.036   17.307
   31.093   17.231   31.117   17.124   31.154   16.995   31.173   16.882
   31.159   16.855   31.169   16.822   31.169   16.736   31.187   16.672
   31.169   16.166   31.169   16.021   31.187   15.924   31.211   15.849
   31.235   15.806   31.282   15.687   31.305   15.682   31.357   15.537
   31.400   15.526   31.405   15.499   31.428   15.472   31.480   15.445
   31.522   15.397   31.551   15.397   31.753   15.332   31.837   15.268
   31.889   15.262   31.912   15.203   31.978   15.198   31.959   15.198
   32.081   15.128   32.137   15.133   32.277   15.037   32.356   14.875
   32.361   14.843   32.375   14.832   32.403   14.784   32.496   14.359
   32.533   14.321   32.566   14.240   32.622   14.154   32.696   14.025
   32.729   13.955   32.738   13.767   32.761   13.676   32.770   13.455
   32.747   13.358   32.766   13.197   32.743   12.976   32.715   12.912
 194                 36.990   32.696   12.519    9.980   32.715   12.912
   32.705   12.519   32.696   12.476   32.733   12.261   32.733   12.186
   32.761   12.164   32.803   12.116   32.859   12.094   32.928   12.019
   32.984   11.965   33.025   11.890   33.123   11.266   33.141   11.244
